# lambda_val.val 0.60000
    1      -116.3698222245
    2      -116.0174582443
    3      -118.8581013686
    4      -114.4506108575
    5      -111.7626930700
    6      -121.1065104426
    7      -119.2302085389
    8      -126.9511013051
    9      -123.7501359506
   10      -111.2057175906
   11      -122.4270445906
   12      -118.8858765508
   13      -110.5980253121
   14      -116.4389072358
   15      -116.9858061979
   16      -114.6791987644
   17      -120.9036165941
   18      -109.7250645475
   19      -115.5060516201
   20      -110.1094644117
   21      -111.8341561236
   22      -118.9639516878
   23      -120.2444944800
   24      -118.0518401399
   25      -115.7631587657
   26      -113.8714886835
   27      -120.7298774297
   28      -113.0335031789
   29      -123.4474594499
   30      -113.1274996159
   31      -115.4601223953
   32      -110.9449288910
   33      -119.3352722746
   34      -118.3178695611
   35      -128.0742523443
   36      -118.0390589378
   37      -129.2665864228
   38      -122.2520057665
   39      -122.4333797419
   40      -121.5610257859
   41      -119.9764870619
   42      -117.2026505411
   43      -110.7727718866
   44      -111.3627267277
   45      -108.9094397769
   46      -113.4540465042
   47      -117.5159501650
   48      -121.5620896910
   49      -119.3629174035
   50      -123.2752797410
