,rep1,rep2,rep3,rep4,rep5,sem
mobley_9478823~mobley_4715906,-51.836083,-51.732806,-51.928771,-51.988584,-51.758251,0.048862219565836834
mobley_8467917~mobley_8614858,-26.068453,-25.641639,-26.089881,-25.753705,-25.78381,0.08966658429626931
mobley_4043951~mobley_9246215,22.923069,21.65699,23.162902,24.66359,21.743756,0.5494277175958269
mobley_2008055~mobley_6091882,19.668912,22.46519,22.392292,23.243188,21.494656,0.612245287064719
mobley_8765203~mobley_1803862,-43.163017,-42.849178,-42.834215,-43.141906,-43.034445,0.07000951450867228
mobley_7859387~mobley_5079234,-5.641354,-6.07631,-6.055364,-5.916464,-5.865024,0.07842860668557111
mobley_4715906~mobley_9478823,49.217457,53.828649,51.870219,51.98633,50.209908,0.7950001123138657
mobley_3546460~mobley_1827204,5.125547,5.082797,5.085085,4.972826,5.169721,0.03269975477339234
mobley_1827204~mobley_3546460,-6.221056,-6.002562,-6.009885,-5.545746,-5.890463,0.11079193348371527
mobley_2859600~mobley_8127829,-20.98055,-21.08083,-21.112882,-20.766007,-21.25382,0.08102386864029668
mobley_4883284~mobley_1036761,-29.473344,-29.322791,-29.175171,-29.494282,-29.231804,0.06354263169919863
mobley_9185328~mobley_4305650,18.486847,18.606238,18.819842,18.737712,18.581086,0.05905762365351312
mobley_49274~mobley_8614858,-25.800409,-25.95081,-25.541801,-25.534012,-26.322406,0.14639020609200618
mobley_5759258~mobley_8492526,5.086891,5.178869,5.023295,5.489462,4.926973,0.09629371376678739
mobley_4561957~mobley_900088,48.386082,48.7296,48.678971,48.71762,49.008874,0.0988653282802414
mobley_6812653~mobley_5310099,20.693619,21.948741,21.394245,20.62129,20.872387,0.250287281361958
mobley_6632459~mobley_8118832,7.662124,7.208058,8.405837,9.323923,7.388565,0.3893991810888411
mobley_8337722~mobley_5616693,5.679673,6.664118,5.34039,7.418533,5.84627,0.37646395016593553
mobley_1967551~mobley_2310185,-1.177702,-1.676356,-1.513037,-1.218231,-1.149543,0.10494669877771286
mobley_8492526~mobley_5759258,-5.935014,-5.829749,-6.008601,-5.745449,-5.925368,0.04575027610342913
mobley_8118832~mobley_313406,-19.565091,-19.738632,-19.598572,-19.722141,-19.578219,0.03716082273443359
mobley_7142697~mobley_4893032,17.988841,18.174682,18.285356,18.151317,18.464971,0.07881785612829081
mobley_299266~mobley_5157661,-26.44028,-26.135776,-26.175273,-26.166853,-26.456464,0.07115869832522254
mobley_6091882~mobley_2008055,-20.803797,-20.914571,-20.73605,-20.629646,-20.899438,0.05295493277740964
mobley_2837389~mobley_646007,-24.417128,-24.262009,-24.316335,-24.302706,-24.191885,0.036814089393329155
mobley_2864987~mobley_1881249,3.46938,3.55605,3.651024,3.76739,3.67161,0.05102847952506517
mobley_7497999~mobley_2043882,-59.926863,-58.480259,-59.24334,-58.539855,-58.556048,0.2814587660860823
mobley_646007~mobley_2837389,25.645344,23.550657,23.95529,25.278058,25.842222,0.46308829509742505
mobley_5449201~mobley_4043951,21.06201,21.639045,20.996838,20.868834,20.596982,0.17124567891085585
mobley_7326982~mobley_3867265,-1.219509,-1.25875,-1.281815,-1.124005,-0.93531,0.06318141628153012
mobley_5449201~mobley_9246215,44.280085,45.305503,43.031088,42.331628,44.545971,0.5362822979587339
mobley_9733743~mobley_8221999,18.315222,18.909031,18.956827,18.946124,18.837056,0.12123573672106785
mobley_8614858~mobley_49274,26.797916,25.230913,25.915892,25.957207,25.457126,0.2692229538905256
mobley_8885088~mobley_8006582,-23.863534,-24.020442,-24.205284,-24.209651,-24.133031,0.06539050988683272
mobley_4043951~mobley_5449201,-21.570094,-21.672866,-21.673613,-21.616544,-21.620008,0.01950290675258404
mobley_778352~mobley_2143011,-15.313372,-14.680269,-15.271093,-15.319528,-15.332225,0.1261751256328284
