,rep1,rep2,sem
mobley_4364398~mobley_3144334,-10.762055,-13.855992,1.5469685
mobley_627267~mobley_1046331,18.311268,18.635735,0.16223350000000103
mobley_9029594~mobley_1017962,-7.416673,-7.886275,0.23480100000000004
mobley_1929982~mobley_36119,6.929536,10.821673,1.9460685000000002
mobley_8337722~mobley_1107178,-8.893967,-7.753379,0.5702940000000001
mobley_2068538~mobley_755351,-52.743104,-60.12396,3.690427999999997
mobley_9414831~mobley_9507933,119.428181,-9.509738,64.46895949999998
mobley_6353617~mobley_6843802,48.331939,72.353672,12.0108665
mobley_9671033~mobley_397645,179.354241,184.137765,2.3917619999999995
mobley_3183805~mobley_9007496,-66.914774,-65.900389,0.507192499999995
