,rep1,rep2,rep3,rep4,rep5,sem
mobley_1800170~mobley_1952272,-167.259761,-167.406173,-167.950077,-167.249808,-167.778163,0.14228705442646547
mobley_7690440~mobley_2784376,19.018829,18.365281,17.021992,17.72801,19.916071,0.5016272998307205
mobley_8260524~mobley_6006813,-193.00606,-193.835705,-192.388663,-195.195602,0.6070032434271536,
mobley_967099~mobley_1800170,173.933181,173.318796,169.221772,175.615844,174.398897,1.0863677241451477
mobley_5063386~mobley_1855337,101.929324,99.775786,102.191891,96.637545,103.300125,1.1796808356003488
mobley_3690931~mobley_4690963,6.13484,5.996464,6.750427,5.310831,6.532742,0.2484843840029791
mobley_859464~mobley_8492526,16.944352,16.133892,16.565538,15.715354,15.683953,0.2442194828584318
mobley_2068538~mobley_5732611,-8.987036,-8.600185,-10.450787,-9.672053,-8.761485,0.34207149347035626
mobley_6060301~mobley_7455579,4.309363,4.396634,6.369368,4.720689,6.177055,0.4466701018491611
mobley_5263791~mobley_5467162,-55.563831,-55.893587,-56.437769,0.254802831889898,,
mobley_8668219~mobley_4694328,-6.333539,-5.720941,-2.829903,-6.347519,-9.472194,1.0563235198783751
mobley_9434451~mobley_1717215,5.730747,5.631355,5.565133,5.427775,5.864199,0.07387342783870265
mobley_4983965~mobley_5690766,43.184691,43.518348,42.666404,43.413255,43.429947,0.15420996148595603
mobley_5390332~mobley_8705848,-31.284978,-30.816988,-31.060761,-31.162246,-31.192987,0.08009649995911187
mobley_6911232~mobley_5880265,19.510719,19.825638,21.379944,22.386227,0.6746420498416176,
mobley_7769613~mobley_9626434,22.701802,23.40004,25.017157,26.937295,24.044936,0.735750163778235
mobley_9015240~mobley_1881249,-13.684252,-13.972599,-13.841676,-14.669814,-13.495914,0.20071405684057106
mobley_4690963~mobley_8514745,-21.762245,-20.77296,-20.064343,-21.403061,-20.21024,0.32941435239184713
mobley_2881590~mobley_5973402,175.300618,173.405554,170.505723,174.676389,175.247797,0.8977798506980095
mobley_718988~mobley_7608435,2.772039,2.444353,2.225475,2.850491,2.985489,0.139642418497246
mobley_1017962~mobley_550662,-24.572604,-25.075458,-24.929452,-25.053327,-26.070112,0.2493045036411501
mobley_5816127~mobley_1722522,-20.304257,-18.618353,-20.051344,0.5249180088814933,,
mobley_8221999~mobley_9626434,-4.760788,-7.729169,-5.408197,-9.956671,-5.6972,0.9513006760333454
mobley_6861308~mobley_7463408,1.661605,2.278876,0.96033,3.118149,0.4585633384188419,
mobley_929676~mobley_6619554,-6.978203,-7.148501,-6.878063,-7.376271,-7.574072,0.12768864326634535
mobley_4639255~mobley_5390332,-23.021225,-22.070883,-22.575218,-22.433461,0.19650330394100085,
mobley_628086~mobley_3546460,-42.816447,-40.759022,-39.702138,-37.518685,-39.804257,0.8579136757952631
mobley_2183616~mobley_3398536,-7.794267,-7.215314,-7.763999,-6.212834,-7.601385,0.29478702098182674
mobley_5390332~mobley_7099614,24.826293,24.766604,24.236194,24.663202,25.411035,0.1884001312649751
mobley_2364370~mobley_3639400,19.96282,19.439847,20.22863,20.257376,0.18942223401102926,
mobley_5692472~mobley_5499659,-3.502695,-3.078612,-2.969499,-2.858674,-2.296693,0.1945712380992114
mobley_5935995~mobley_2364370,-27.754906,-27.593189,-27.083087,-26.506368,-26.791087,0.235562574018582
mobley_1075836~mobley_2198613,-1.933275,-1.953785,-2.05454,-2.435382,-1.876023,0.1004211481456969
mobley_4964807~mobley_3573480,100.7501,101.502265,102.286915,103.941411,100.281052,0.64457401341759
