,rep1,rep2,rep3,rep4,rep5,sem
mobley_8436428~mobley_9246215,43.962083,44.963653,44.844142,45.001838,44.082531,0.22625053328834344
mobley_3452749~mobley_8127829,6.602661,6.334418,3.589946,1.167253,5.458519,1.0137850713363556
mobley_4177472~mobley_2609604,-5.95008,-5.990801,-5.380053,-5.107561,-5.766489,0.17121172778183164
mobley_5571660~mobley_5072416,29.236987,17.303313,11.130357,26.865569,16.270177,3.4072142338499583
mobley_900088~mobley_2245668,-48.332088,-48.352477,-48.080723,-47.918248,-47.789176,0.11123792057864118
mobley_7532833~mobley_6632459,-4.308147,-3.63697,-4.574276,-4.21737,-4.156251,0.15308617993581267
mobley_7977115~mobley_5079234,1.307341,3.2894,-0.739371,1.319788,-0.72514,0.7543055699118627
mobley_3151666~mobley_4694328,-0.82681,-2.170327,1.115364,1.804225,0.61026,0.7144529242280837
mobley_1875719~mobley_3259411,16.973848,17.831339,17.279674,18.299986,17.843162,0.23312049930505893
mobley_8260524~mobley_9624458,-29.885899,-30.914292,-29.946829,-30.075705,-30.551393,0.19797745914563114
mobley_1261349~mobley_313406,-0.874183,-1.542331,-1.642179,-1.337858,-1.437161,0.13324873871583173
mobley_3234716~mobley_852937,-7.910365,-7.924958,-7.70593,-7.838747,-7.868804,0.03905043804543034
mobley_7009711~mobley_2923700,33.919353,32.127363,32.390837,40.308453,36.317084,1.5189002646584797
mobley_8861672~mobley_1363784,64.215548,64.1155,64.272827,64.351168,64.127138,0.04443852728702946
mobley_4639255~mobley_2146331,-19.593886,-20.707993,-23.968078,-24.53477,-22.114676,0.9381137150080261
mobley_3040612~mobley_2850833,-45.508274,-46.026075,-45.918647,-46.511972,-45.202557,0.22455738879159612
mobley_1881249~mobley_2143011,25.928868,25.87575,26.238971,26.776242,25.623777,0.197780527292906
mobley_1755375~mobley_2923700,-34.248415,-35.093954,-68.132401,-40.989267,-53.696267,6.443179927835467
mobley_1019269~mobley_627267,4.375676,4.02238,3.507795,3.925991,3.5197,0.1637017027903498
mobley_1563176~mobley_9624458,-4.234794,-4.008143,-5.311601,-5.4441,-4.322889,0.29653545387197794
mobley_1881249~mobley_8436428,12.408881,11.67608,12.224233,12.041183,12.056969,0.12127316903519894
mobley_4690963~mobley_9626434,3.318252,3.33813,3.741246,3.761458,3.172145,0.11991381418268703
mobley_3452749~mobley_2126135,0.772686,-3.086607,0.853226,-3.536578,-2.491192,0.9578669258781201
mobley_5052949~mobley_9974966,-14.317954,-14.150981,-13.419245,-14.025158,-13.818047,0.15499603124435155
mobley_1903702~mobley_8337977,-5.632785,-5.146786,-5.412355,-5.688098,-5.603099,0.09900174918283021
mobley_5310099~mobley_9121449,19.009257,19.867249,19.710971,19.804787,20.018837,0.1755384892820944
mobley_2410897~mobley_1857976,8.558126,8.519056,8.169475,8.122805,7.9125,0.12322693349532005
mobley_2245668~mobley_9624458,-6.578242,-4.253941,-1.082089,-4.040468,-4.696571,0.8839691753473874
mobley_7573149~mobley_8514745,1.60495,1.856762,1.483361,1.077454,1.675462,0.1303960486749503
mobley_4561957~mobley_8525830,-5.101717,-3.770964,-4.444686,-4.519301,-4.625011,0.2135793827707627
mobley_430089~mobley_252413,-33.865879,-33.352912,-33.00426,-33.635794,-33.886313,0.1668708670495237
mobley_7769613~mobley_6497672,25.18965,25.715886,24.737953,26.042204,26.072365,0.2580608070080772
mobley_1875719~mobley_8427539,-47.71339,-47.811854,-48.248632,-47.971143,-48.496496,0.14405505653395242
mobley_5973402~mobley_2422586,7.355712,7.49279,7.374411,7.180358,7.480897,0.056271542671762605
mobley_3144334~mobley_1987439,7.685806,8.216006,7.75994,8.562608,7.924048,0.16138412969483718
mobley_3187514~mobley_2689721,-42.197516,-43.712794,-42.556365,-44.361787,-43.541742,0.3950521672847018
mobley_1875719~mobley_778352,19.548306,19.136123,18.378555,18.785992,18.892636,0.19356347920529873
mobley_7610437~mobley_7142697,-6.827869,-5.734861,-6.964447,-6.587023,-6.750092,0.218199915791826
mobley_8118832~mobley_9913368,-1.662422,-0.621424,-0.355111,0.639691,0.749317,0.44351575832380524
mobley_4780078~mobley_9478823,11.520766,11.184727,11.205624,11.070545,11.478005,0.08801771058519986
mobley_525934~mobley_4364398,-3.708162,-3.608069,-3.804218,-3.99492,-4.271204,0.11735177835874495
mobley_5571660~mobley_2451097,30.155791,29.511346,29.482648,29.067811,29.525478,0.1740849111225326
mobley_313406~mobley_7047032,-6.288949,-6.254165,-6.111711,-6.378495,-5.784094,0.1041180713730331
mobley_2609604~mobley_7610437,-3.465532,-3.58038,-2.950251,-3.865371,-3.695157,0.15505037871911176
mobley_6571751~mobley_7497999,27.040592,28.069463,30.640868,27.092759,27.713226,0.6611644601504683
mobley_1733799~mobley_1189457,22.575939,22.249462,22.556621,19.699423,21.272896,0.5469670926890761
mobley_859464~mobley_5880265,27.429662,27.717712,27.898213,27.480954,27.948349,0.10540802058050396
