,rep1,rep2,rep3,rep4,rep5,sem
mobley_3370989~mobley_1144156,-9.106765,-8.986831,-9.187027,-8.786563,-9.135138,0.07147794006992658
mobley_7227357~mobley_4177472,15.198295,14.350697,15.039412,15.249095,14.807804,0.16375198130972335
mobley_2929847~mobley_6060301,38.022784,40.931188,40.486867,44.903826,40.202281,1.117296226019376
mobley_4218209~mobley_3746675,36.685222,36.771956,36.550626,36.907019,36.47351,0.07725585083966151
mobley_9246351~mobley_2784376,17.406338,25.358481,18.833295,18.615861,22.308368,1.462422006594629
mobley_967099~mobley_197466,190.69029,190.810552,188.580788,186.818499,184.652065,1.1746686695457336
mobley_1662128~mobley_4792268,-58.730225,-57.169225,-54.773162,-53.960565,-58.830654,1.0024624500978274
mobley_664966~mobley_303222,14.132015,12.994136,15.426475,16.804682,15.701347,0.6598047410436667
mobley_6060301~mobley_1019269,-8.086161,-9.454548,-7.820405,-8.591887,-6.629855,0.4644928032110293
mobley_8221999~mobley_2310185,-5.545493,-5.419597,-6.060855,-5.802138,-5.581842,0.11302330940252987
mobley_900088~mobley_6854178,-52.819622,-51.288212,-52.794857,-52.609356,-52.048072,0.29129464665221705
mobley_2310185~mobley_3083321,9.873767,10.514299,9.923798,9.882754,10.388586,0.13837725594959585
mobley_6175884~mobley_5094777,6.585141,7.743608,7.950112,6.733595,8.406608,0.3540421742221398
mobley_6978427~mobley_3144334,-68.802796,1.547594,-27.828146,-118.43994,-177.603404,32.00437169749003
mobley_6632459~mobley_5935995,-3.250701,-3.02255,-3.35035,-3.129837,-3.156373,0.05561634964414693
mobley_5346580~mobley_6497672,1.587879,0.251051,1.88313,-0.731512,0.475142,0.47377384959651375
mobley_7203421~mobley_2929847,7.492157,7.491222,5.043012,3.580901,5.149388,0.7626438690483913
mobley_4043951~mobley_7859387,-23.514569,-23.912836,-24.25588,-23.511464,-24.445954,0.18979448353774667
mobley_3398536~mobley_7688753,-1.094256,-1.012783,-0.784419,-1.018996,-1.247212,0.07484172420341477
mobley_5692472~mobley_9029594,-7.670691,-7.585761,-7.703891,-7.704292,-7.658731,0.021686797961893742
mobley_2341732~mobley_8573194,3.474633,3.380907,2.540519,3.317814,3.081744,0.1677164205874308
