,rep1,rep2,rep3,rep4,rep5,sem
mobley_9838013~mobley_7227357,18.080343,18.399934,17.736233,17.831235,17.791313,0.12305012312370911
mobley_5026370~mobley_8798016,16.148308,16.186094,16.205214,15.920852,15.852868,0.0731489463508533
mobley_5518547~mobley_8691603,2.737949,3.268896,3.325437,3.246118,2.84058,0.12201741364043082
mobley_7142697~mobley_9246215,52.273548,52.42166,48.897676,49.540981,49.019728,0.7903358444134748
mobley_8772587~mobley_9246215,41.183151,38.245095,46.32841,43.928767,41.67994,1.359253918432115
mobley_9121449~mobley_9112978,-18.828058,-19.26849,-18.591007,-18.842548,-19.052736,0.11438832185341279
mobley_1873346~mobley_1905088,1.555523,1.824149,2.175203,1.308301,2.667612,0.23867349851787067
mobley_7859387~mobley_4762983,18.836149,18.112771,19.300153,18.609306,18.335338,0.20566963712629086
mobley_9246215~mobley_8573194,-35.907097,-35.931827,-35.944248,-35.763776,-35.711051,0.04773207350346345
mobley_1662128~mobley_303222,9.864478,8.534245,9.843567,9.099389,9.460538,0.24982307897241995
mobley_4893032~mobley_1881249,-19.087916,-18.984821,-19.719056,-19.187171,-19.272388,0.12669905217427607
mobley_8668219~mobley_3414356,-28.317968,-28.487996,-28.72252,-28.449633,-28.229618,0.08406972998886104
mobley_5759258~mobley_2864987,-8.013785,-7.958121,-7.825175,-7.690065,-8.007601,0.062277210163590384
mobley_1899443~mobley_8436428,-21.557089,-21.867927,-21.289757,-21.877429,-21.948577,0.12447114924768685
mobley_1803862~mobley_900088,46.039566,49.327722,48.721623,48.41802,49.957846,0.6678234602025901
mobley_1728386~mobley_2661134,43.614482,43.507237,43.388666,44.065202,43.777561,0.11757441677363266
mobley_1903702~mobley_6632459,15.648284,14.758101,15.609229,15.724699,15.240097,0.18005245092583427
mobley_5759258~mobley_9246215,50.333646,50.651519,53.400305,50.36766,51.16711,0.5738180046792715
mobley_4924862~mobley_5471704,-17.859781,-17.964458,-17.822988,-18.07631,-17.423866,0.11059546171593113
mobley_5948990~mobley_5747188,10.34518,10.315853,10.116789,10.377943,10.558711,0.07059225254402919
mobley_1923244~mobley_8118832,12.347178,12.523608,12.395164,12.608206,12.486092,0.04631324586076854
mobley_6632459~mobley_210639,-12.276823,-12.480167,-12.882998,-12.814182,-11.471563,0.25370507127935
mobley_2925352~mobley_2923700,2.699981,2.551825,2.260365,2.736967,2.553732,0.08390399386918357
mobley_2487143~mobley_5759258,1.937131,1.898565,2.021198,2.125363,2.044068,0.04013115676005368
mobley_8789465~mobley_852937,-6.024666,-5.298893,-6.147259,-5.908346,-5.164224,0.1995523645899993
mobley_5747188~mobley_7176290,-37.41715,-37.10396,-37.14656,-36.364273,-37.097413,0.17558376261072722
mobley_5690766~mobley_2864987,-55.714416,-54.14009,-51.608406,-54.402406,-52.149437,0.7575237208758546
mobley_9112978~mobley_1563176,-25.53524,-25.820778,-25.996092,-25.89876,-25.476532,0.10210406604322872
mobley_1899443~mobley_4043987,-21.717345,-21.466117,-22.554469,-21.67217,-21.439209,0.2036544055546061
mobley_313406~mobley_5627459,16.247313,15.974611,15.431941,15.440115,15.484302,0.16728098739773115
mobley_296847~mobley_63712,-25.758849,-26.256269,-26.20754,-26.023835,-26.720551,0.1580549727153182
mobley_4035953~mobley_9478823,9.375494,9.386243,9.35613,9.411742,9.288803,0.020763168121941407
mobley_8514745~mobley_3572203,19.851273,19.941119,20.270466,20.349013,20.53308,0.12769816598816155
mobley_1592519~mobley_2607611,-11.091118,-10.447902,-10.598352,-10.388801,-10.753967,0.12588657160356692
mobley_4715906~mobley_2451097,66.684833,68.646358,73.798858,69.500462,70.171303,1.1671708101077314
mobley_900088~mobley_8739734,-34.763569,-34.402676,-34.820113,-34.415749,-34.74003,0.09045926101102064
mobley_9185328~mobley_1199854,0.968557,0.880886,0.929868,0.488921,0.709621,0.08850426956627572
mobley_5880265~mobley_2364370,-31.496875,-32.213061,-31.792826,-31.977123,-31.730717,0.12038639299339499
mobley_6430250~mobley_7463799,-7.702139,-7.756779,-7.622274,-7.801566,-7.73525,0.030035644225819454
mobley_6896128~mobley_5079234,-8.563217,-9.113825,-9.06409,-8.816504,-8.675643,0.10703949619434874
mobley_8525830~mobley_1875719,11.740432,11.612723,12.312998,12.415664,12.486262,0.18166057811875405
mobley_4035953~mobley_8691603,-19.89739,-20.103136,-20.326808,-19.948843,-20.104054,0.07499948878252416
mobley_3211679~mobley_6571751,3.990737,3.632636,4.481021,4.127658,4.11135,0.13629631595336683
mobley_8522124~mobley_4694328,-42.296304,-41.923224,-41.759214,-41.270242,-41.240717,0.20056486621051034
mobley_1803862~mobley_7047032,-13.788608,-12.437773,-12.993879,-13.565152,-12.754884,0.25091173018322593
mobley_8754702~mobley_6973347,-28.696826,-28.232027,-27.918416,-28.332816,-28.23114,0.12488793804687486
mobley_2727678~mobley_9557440,8.787898,8.134001,10.384347,7.986763,0.5487142769285571,
mobley_1674094~mobley_6060301,-34.931042,-35.132773,-34.87689,-35.566934,-34.649752,0.15438157012363934
mobley_1800170~mobley_8260524,14.89096,15.533257,16.048357,14.529561,15.845511,0.28711911332030826
mobley_8772587~mobley_1903702,-8.517878,-8.456042,-9.265874,-9.144934,-9.86906,0.26099907956649954
mobley_6854178~mobley_8754702,16.575418,14.534192,16.311747,17.061652,16.145469,0.42697508354500024
mobley_9883303~mobley_4043987,-1.75158,-1.80007,-2.240108,-2.48652,-1.921347,0.14040198176094243
mobley_36119~mobley_3378420,1.145656,0.767137,0.985561,0.872702,0.934714,0.06277026200598497
mobley_2929847~mobley_4792268,6.603566,7.707647,7.088049,4.8833,7.646113,0.5164305503651966
mobley_2422586~mobley_3982371,-17.136998,-16.649882,-17.183139,-17.096541,-16.704492,0.11424812135286931
mobley_5346580~mobley_7610437,-21.606887,-22.038338,-19.536002,-19.270174,-18.278698,0.7190660412137678
mobley_778352~mobley_8772587,-35.101228,-35.438562,-35.800301,-35.605577,-36.058642,0.16207037025656476
mobley_3378420~mobley_1502181,-4.462689,-4.626484,-4.687883,-4.557121,-4.49998,0.04100058754286333
mobley_7176290~mobley_6082662,32.453718,32.44786,32.455301,32.233571,32.005003,0.08922555428048594
mobley_2422586~mobley_8754702,1.23521,0.311813,0.989724,0.275544,0.566799,0.18921686552234182
mobley_820789~mobley_1881249,21.235053,21.248864,20.970354,21.025369,20.947213,0.06521174948933661
mobley_5449201~mobley_1875719,8.441987,8.432031,8.63298,8.527976,8.499033,0.03620861084410726
mobley_9838013~mobley_8739734,28.752269,28.892143,28.6035,28.77262,28.789831,0.0463904437450215
mobley_525934~mobley_1800170,-3.282753,-3.084803,-3.258669,-2.709308,-2.660329,0.13302730206149413
mobley_4762983~mobley_7157427,-23.004915,-23.422456,-23.113658,-22.937279,-23.728999,0.14752403151981733
mobley_8427539~mobley_6632459,45.032997,45.040252,44.873679,44.928164,44.724639,0.058140802066534755
mobley_4893032~mobley_2213823,-5.420459,-5.198551,-5.529714,-5.334368,-5.458185,0.0569338948172352
mobley_8467917~mobley_7157427,-26.806649,-26.757496,-27.260575,-27.615923,-26.248593,0.23331854819975179
mobley_1803862~mobley_9112978,26.550274,26.872561,26.495929,28.154243,26.613456,0.3110155802969685
mobley_3144334~mobley_2126135,12.291162,11.278712,11.922907,11.589459,12.33105,0.2025175683981514
mobley_9617923~mobley_3151666,4.193579,3.749588,3.905891,4.090837,4.016748,0.07654782591595916
mobley_6812653~mobley_2864987,-14.872424,-15.136613,-15.117708,-15.170891,-14.604561,0.10780922317900254
