,rep1,rep2,sem
mobley_20524~mobley_1199854,-9.365971,-10.873946,0.7539874999999999
mobley_7417968~mobley_1976156,8.545334,8.282028,0.131653
mobley_1755375~mobley_1827204,-30.49291,-30.764483,0.13578650000000003
mobley_9565165~mobley_9942801,-15.731603,26.910227,21.320914999999996
mobley_6175884~mobley_5852491,-100.015921,-99.40977,0.3030755000000056
mobley_7364468~mobley_9671033,-147.886694,-147.962443,0.03787450000000092
mobley_8118832~mobley_2771569,53.931728,55.791183,0.9297274999999985
mobley_1963873~mobley_3515580,64.844324,65.504966,0.3303209999999978
mobley_4762983~mobley_3762186,-15.468823,-14.829374,0.3197245000000004
mobley_8899867~mobley_4291494,40.870079,39.796853,0.5366129999999991
