,rep1,rep2,sem
mobley_4463913~mobley_900088,145.137271,144.268367,0.4344519999999932
mobley_5006685~mobley_1875719,-21.970088,-21.09894,0.4355740000000008
mobley_9209581~mobley_6303022,-15.858883,-17.6002,0.8706585000000002
mobley_7150646~mobley_7047032,-43.399286,-43.627867,0.11429050000000274
mobley_3274817~mobley_5948990,133.004452,91.026482,20.988984999999992
mobley_9246351~mobley_550662,-21.109195,-23.126195,1.0084999999999997
mobley_7261305~mobley_1760914,-50.051913,-51.208295,0.5781910000000002
mobley_3183805~mobley_2972345,-98.806137,-58.841776,19.982180500000002
mobley_3727287~mobley_967099,-224.695745,-224.074239,0.3107529999999912
mobley_2197088~mobley_1857976,-10.26732,-10.100713,0.08330349999999952
mobley_9246351~mobley_6988468,-16.765096,-18.111256,0.6730800000000005
