,Perturbation,Exp1,Pred1
0,mobley_4759887~mobley_7977115,0.13375,0.1269599348306656
1,mobley_2245668~mobley_9624458,0.009526,0.042055439203977585
2,mobley_1674094~mobley_4561957,0.11443,0.10421082377433777
3,mobley_3053621~mobley_7774695,0.14816,0.12356951832771301
4,mobley_4193752~mobley_1424265,0.12325,0.11314249783754349
5,mobley_1717215~mobley_3982371,0.15335,0.14207516610622406
6,mobley_6309289~mobley_5026370,0.12075,0.08211857825517654
7,mobley_718988~mobley_5690766,0.018922,0.02084333449602127
8,mobley_6497672~mobley_210639,0.10616,0.05963163450360298
9,mobley_4561957~mobley_7983227,0.15033,0.13778643310070038
10,mobley_1235151~mobley_4792268,0.0174325,0.11283126473426819
11,mobley_2294995~mobley_5816127,0.16189,0.1379500925540924
12,mobley_2390199~mobley_3573480,0.16245,0.14585384726524353
13,mobley_3370989~mobley_9913368,0.11733,0.1321375072002411
14,mobley_1199854~mobley_8427539,0.15839,0.05233059823513031
15,mobley_49274~mobley_1674094,0.14858,0.14531998336315155
16,mobley_6091882~mobley_1977493,0.139,0.12645918130874634
17,mobley_5759258~mobley_3639400,0.04691667,0.0412110760807991
18,mobley_5310099~mobley_1827204,0.15759,0.14909233152866364
19,mobley_1803862~mobley_2213823,0.15794,0.1442156881093979
20,mobley_1800170~mobley_9029594,0.15513,0.12663908302783966
21,mobley_4043987~mobley_820789,0.15325,0.14417821168899536
22,mobley_2183616~mobley_4494568,0.036535,0.020058102905750275
23,mobley_900088~mobley_5627459,0.13992,0.13924501836299896
24,mobley_303222~mobley_5627459,0.10188,0.04971161484718323
25,mobley_5157661~mobley_9794857,0.13852,0.12086848169565201
26,mobley_4305650~mobley_4639255,0.1261,0.11904449760913849
27,mobley_6456034~mobley_5890803,0.13522,0.1114279106259346
28,mobley_6497672~mobley_430089,0.15483,0.14758551120758057
29,mobley_550662~mobley_859464,0.040225,0.04405076056718826
30,mobley_7769613~mobley_3982371,0.13531,0.08267014473676682
31,mobley_4043951~mobley_9112978,0.15614,0.15663710236549377
32,mobley_8467917~mobley_252413,0.10909,0.10179700702428818
33,mobley_6175884~mobley_1178614,0.050365,0.07668452709913254
34,mobley_8668219~mobley_2487143,0.10765,0.0900811105966568
35,mobley_5600967~mobley_7415647,0.10433,0.0910053700208664
36,mobley_4561957~mobley_5449201,0.11486,0.12309388816356659
37,mobley_3183805~mobley_1079207,0.046115,0.0858609527349472
38,mobley_8614858~mobley_2609604,0.09673,0.09481710940599442
39,mobley_820789~mobley_7977115,0.024115,0.12482853978872299
40,mobley_5627459~mobley_7015518,0.13561,0.08033014833927155
41,mobley_1674094~mobley_1903702,0.15399,0.12925241887569427
42,mobley_7859387~mobley_8492526,0.064335,0.058405790477991104
43,mobley_5518547~mobley_3452749,0.11402,0.09039804339408875
44,mobley_4305650~mobley_8118832,0.14601,0.14901398122310638
45,mobley_2763835~mobley_5072416,0.016074,0.07180523872375488
46,mobley_3259411~mobley_4639255,0.12523,0.08133204281330109
47,mobley_1563176~mobley_4792268,0.048105,0.13747096061706543
48,mobley_5310099~mobley_2143011,0.11124,0.11153346300125122
49,mobley_1899443~mobley_3414356,0.10275,0.07275229692459106
50,mobley_6911232~mobley_5157661,0.14173,0.14375580847263336
51,mobley_1875719~mobley_2390199,0.13724,0.11212188005447388
52,mobley_7943327~mobley_7542832,0.14959,0.13675417006015778
53,mobley_303222~mobley_9913368,0.15045,0.12096650898456573
54,mobley_1903702~mobley_8260524,0.0230675,0.024245023727416992
55,mobley_7009711~mobley_8057732,0.13821,0.13513228297233582
56,mobley_5692472~mobley_8983100,0.15849,0.15139074623584747
57,mobley_1144156~mobley_9246215,0.1519,0.12168217450380325
58,mobley_1563176~mobley_1903702,0.11769,0.13583695888519287
59,mobley_1650157~mobley_1875719,0.10478,0.12737202644348145
60,mobley_9794857~mobley_2294995,0.13262,0.10957793891429901
61,mobley_5759258~mobley_1875719,0.16305,0.150239497423172
62,mobley_7142697~mobley_4893032,0.13833,0.1420799195766449
63,mobley_1800170~mobley_7015518,0.16137,0.14755821228027344
64,mobley_5520946~mobley_755351,0.13747,0.12856392562389374
65,mobley_303222~mobley_900088,0.12401,0.11445122957229614
66,mobley_9246215~mobley_9733743,0.15478,0.1427001953125
67,mobley_2451097~mobley_2123854,0.09834,0.14072993397712708
68,mobley_8467917~mobley_7203421,0.15743,0.16028310358524323
69,mobley_4893032~mobley_5286200,0.12736,0.050502534955739975
