,Perturbation,Exp1,Pred1
0,mobley_4759887~mobley_7977115,4.0,0.9011839032173157
1,mobley_2245668~mobley_9624458,4.0,0.8795855641365051
2,mobley_1674094~mobley_4561957,0.44023,0.3238173723220825
3,mobley_3053621~mobley_7774695,0.128487,0.7051317095756531
4,mobley_4193752~mobley_1424265,6.0,0.7787646055221558
5,mobley_1717215~mobley_3982371,0.121996,0.3238173723220825
6,mobley_6309289~mobley_5026370,0.300231,0.8923784494400024
7,mobley_718988~mobley_5690766,0.061842,0.8986613750457764
8,mobley_6497672~mobley_210639,0.223967,0.8558112978935242
9,mobley_4561957~mobley_7983227,2.0,0.3238173723220825
10,mobley_1235151~mobley_4792268,0.21151,0.8599451184272766
11,mobley_2294995~mobley_5816127,0.132631,0.3238173723220825
12,mobley_2390199~mobley_3573480,0.106482,0.3238173723220825
13,mobley_3370989~mobley_9913368,0.17237,0.9118650555610657
14,mobley_1199854~mobley_8427539,0.252527,0.3238173723220825
15,mobley_49274~mobley_1674094,2.0,0.5454930663108826
16,mobley_6091882~mobley_1977493,0.259156,0.7838731408119202
17,mobley_5759258~mobley_3639400,0.055088,0.7919940948486328
18,mobley_5310099~mobley_1827204,0.108009,0.3238173723220825
19,mobley_1803862~mobley_2213823,0.113805,0.3238173723220825
20,mobley_1800170~mobley_9029594,6.0,0.724116325378418
21,mobley_4043987~mobley_820789,4.0,0.886832058429718
22,mobley_2183616~mobley_4494568,6.0,1.4561766386032104
23,mobley_900088~mobley_5627459,2.0,0.3323144316673279
24,mobley_303222~mobley_5627459,0.256775,0.5206717252731323
25,mobley_5157661~mobley_9794857,0.143898,0.5839111804962158
26,mobley_4305650~mobley_4639255,0.177427,0.46727994084358215
27,mobley_6456034~mobley_5890803,4.0,1.0281803607940674
28,mobley_6497672~mobley_430089,0.140427,0.3238173723220825
29,mobley_550662~mobley_859464,0.272329,0.46129339933395386
30,mobley_7769613~mobley_3982371,0.190759,0.7005917429924011
31,mobley_4043951~mobley_9112978,0.108095,0.3238173723220825
32,mobley_8467917~mobley_252413,0.305971,0.3238173723220825
33,mobley_6175884~mobley_1178614,2.280223,0.8986613750457764
34,mobley_8668219~mobley_2487143,4.0,0.6340897679328918
35,mobley_5600967~mobley_7415647,0.351481,2.5725979804992676
36,mobley_4561957~mobley_5449201,0.086331,0.5153260827064514
