,Perturbation,Exp1,Pred1
0,mobley_4759887~mobley_7977115,0.13375,0.09637071937322617
1,mobley_2245668~mobley_9624458,0.009526,0.019612915813922882
2,mobley_1674094~mobley_4561957,0.11443,0.10489457845687866
3,mobley_3053621~mobley_7774695,0.14816,0.017283685505390167
4,mobley_4193752~mobley_1424265,0.12325,0.10489457845687866
5,mobley_1717215~mobley_3982371,0.15335,0.13964560627937317
6,mobley_6309289~mobley_5026370,0.12075,0.09517368674278259
7,mobley_718988~mobley_5690766,0.018922,0.007824748754501343
8,mobley_6497672~mobley_210639,0.10616,0.047666460275650024
9,mobley_4561957~mobley_7983227,0.15033,0.13964560627937317
10,mobley_1235151~mobley_4792268,0.0174325,0.09330262988805771
11,mobley_2294995~mobley_5816127,0.16189,0.07991835474967957
12,mobley_2390199~mobley_3573480,0.16245,0.13964560627937317
13,mobley_3370989~mobley_9913368,0.11733,0.13017641007900238
14,mobley_1199854~mobley_8427539,0.15839,0.05247744172811508
15,mobley_49274~mobley_1674094,0.14858,0.13964560627937317
16,mobley_6091882~mobley_1977493,0.139,0.13964560627937317
17,mobley_5759258~mobley_3639400,0.04691667,0.1253584772348404
18,mobley_5310099~mobley_1827204,0.15759,0.13964560627937317
19,mobley_1803862~mobley_2213823,0.15794,0.13964560627937317
20,mobley_1800170~mobley_9029594,0.15513,0.12649904191493988
21,mobley_4043987~mobley_820789,0.15325,0.13964560627937317
22,mobley_2183616~mobley_4494568,0.036535,0.08654153347015381
23,mobley_900088~mobley_5627459,0.13992,0.13964560627937317
24,mobley_303222~mobley_5627459,0.10188,0.07782749086618423
25,mobley_5157661~mobley_9794857,0.13852,0.13964560627937317
26,mobley_4305650~mobley_4639255,0.1261,0.13768120110034943
27,mobley_6456034~mobley_5890803,0.13522,0.06432459503412247
28,mobley_6497672~mobley_430089,0.15483,0.13964560627937317
29,mobley_550662~mobley_859464,0.040225,0.014639601111412048
30,mobley_7769613~mobley_3982371,0.13531,0.08633957803249359
31,mobley_4043951~mobley_9112978,0.15614,0.13964560627937317
32,mobley_8467917~mobley_252413,0.10909,0.10489457845687866
33,mobley_6175884~mobley_1178614,0.050365,0.06150197237730026
34,mobley_8668219~mobley_2487143,0.10765,0.10489457845687866
35,mobley_5600967~mobley_7415647,0.10433,-9.885430335998535e-05
36,mobley_4561957~mobley_5449201,0.11486,0.11431688070297241
37,mobley_3183805~mobley_1079207,0.046115,0.08417563885450363
38,mobley_8614858~mobley_2609604,0.09673,0.09213058650493622
39,mobley_820789~mobley_7977115,0.024115,0.13964560627937317
40,mobley_5627459~mobley_7015518,0.13561,0.13964560627937317
41,mobley_1674094~mobley_1903702,0.15399,0.10758423060178757
42,mobley_7859387~mobley_8492526,0.064335,0.08529253304004669
43,mobley_5518547~mobley_3452749,0.11402,0.13964560627937317
44,mobley_4305650~mobley_8118832,0.14601,0.13964560627937317
45,mobley_2763835~mobley_5072416,0.016074,0.04859699308872223
46,mobley_3259411~mobley_4639255,0.12523,0.13964560627937317
47,mobley_1563176~mobley_4792268,0.048105,0.11582575738430023
48,mobley_5310099~mobley_2143011,0.11124,0.10489457845687866
49,mobley_1899443~mobley_3414356,0.10275,0.07801064848899841
50,mobley_6911232~mobley_5157661,0.14173,0.13964560627937317
51,mobley_1875719~mobley_2390199,0.13724,0.13964560627937317
52,mobley_7943327~mobley_7542832,0.14959,0.13964560627937317
53,mobley_303222~mobley_9913368,0.15045,0.12299031019210815
54,mobley_1903702~mobley_8260524,0.0230675,0.13964560627937317
55,mobley_7009711~mobley_8057732,0.13821,0.13964560627937317
56,mobley_5692472~mobley_8983100,0.15849,0.13964560627937317
57,mobley_1144156~mobley_9246215,0.1519,0.13964560627937317
58,mobley_1563176~mobley_1903702,0.11769,0.06369645893573761
59,mobley_1650157~mobley_1875719,0.10478,0.05351744592189789
60,mobley_9794857~mobley_2294995,0.13262,0.08489120006561279
61,mobley_5759258~mobley_1875719,0.16305,0.13964560627937317
62,mobley_7142697~mobley_4893032,0.13833,0.13964560627937317
63,mobley_1800170~mobley_7015518,0.16137,0.13964560627937317
64,mobley_5520946~mobley_755351,0.13747,0.13964560627937317
65,mobley_303222~mobley_900088,0.12401,0.09724947810173035
66,mobley_9246215~mobley_9733743,0.15478,0.13964560627937317
67,mobley_2451097~mobley_2123854,0.09834,0.09109678119421005
68,mobley_8467917~mobley_7203421,0.15743,0.13964560627937317
69,mobley_4893032~mobley_5286200,0.12736,0.13964560627937317
70,mobley_5759258~mobley_4630641,0.1537,0.13964560627937317
71,mobley_4043987~mobley_900088,0.064655,0.13964560627937317
72,mobley_7573149~mobley_1075836,0.14184,0.13964560627937317
73,mobley_8427539~mobley_1903702,0.049835,0.13964560627937317
74,mobley_2310185~mobley_1881249,0.09265,0.06253941357135773
75,mobley_2043882~mobley_7688753,0.11306,0.13964560627937317
76,mobley_3515580~mobley_1079207,0.11448,0.08694542944431305
77,mobley_6743808~mobley_4780078,0.15815,0.13964560627937317
78,mobley_2261979~mobley_9565165,0.01341,0.13467803597450256
79,mobley_2146331~mobley_2410897,0.03112,0.10667918622493744
80,mobley_8048190~mobley_7758918,0.13758,0.1351727396249771
81,mobley_9507933~mobley_4287564,0.16129,0.13964560627937317
82,mobley_1019269~mobley_2310185,0.0182525,0.12821272015571594
83,mobley_9883303~mobley_5079234,0.021035,0.05962856113910675
84,mobley_1923244~mobley_1899443,0.14329,0.12303248792886734
85,mobley_1728386~mobley_2451097,0.1472,0.10248896479606628
86,mobley_4780078~mobley_7009711,0.16177,0.13964560627937317
87,mobley_3144334~mobley_3053621,0.13129,0.09330828487873077
88,mobley_1755375~mobley_2923700,0.010305,0.024045124650001526
89,mobley_1905088~mobley_3980099,0.08593,0.027054354548454285
90,mobley_1199854~mobley_3259411,0.10214,0.07923870533704758
91,mobley_900088~mobley_820789,0.10978,0.13964560627937317
92,mobley_7708038~mobley_6632459,0.10082,0.13964560627937317
93,mobley_6743808~mobley_4715906,0.1401,0.13964560627937317
94,mobley_2422586~mobley_7708038,0.16004,0.13964560627937317
